"filename", "language", "TypeScript", "JSON", "MS SQL", "JSON with Comments", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"/home/fadeyjo/Documents/ChatBox/src/client/package-lock.json", "JSON", 0, 18534, 0, 0, 0, 0, 0, 0, 1, 18535
"/home/fadeyjo/Documents/ChatBox/src/client/package.json", "JSON", 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
"/home/fadeyjo/Documents/ChatBox/src/client/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"/home/fadeyjo/Documents/ChatBox/src/client/public/style.css", "CSS", 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"/home/fadeyjo/Documents/ChatBox/src/client/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 6, 104
"/home/fadeyjo/Documents/ChatBox/src/client/src/Globals.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/AuthHeader/AuthHeader.module.css", "CSS", 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/AuthHeader/AuthHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/AuthenticationPage/AuthenticationPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/AuthenticationPage/AuthenticationPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/BufFriendsPage/BufFriendsPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/BufFriendsPage/BufFriendsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/BufProfilePage/BufProfilePage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/BufProfilePage/BufProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/BufSubscribersPage/BufSubscribersPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/BufSubscribersPage/BufSubscribersPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/BufSubscribesPage/BufSubscribesPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/BufSubscribesPage/BufSubscribesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/Chat/Chat.module.css", "CSS", 0, 0, 0, 0, 0, 93, 0, 0, 15, 108
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/Chat/Chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 205, 0, 0, 0, 15, 220
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ChatCard/ChatCard.module.css", "CSS", 0, 0, 0, 0, 0, 47, 0, 0, 7, 54
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ChatCard/ChatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 14, 131
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ChatsPage/ChatsPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ChatsPage/ChatsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/CodeForm/CodeForm.module.css", "CSS", 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/CodeForm/CodeForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 7, 105
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/Comment/Comment.module.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 7, 44
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/Comment/Comment.tsx", "TypeScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 10, 92
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/FriendsPage/FriendsPage.module.css", "CSS", 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/FriendsPage/FriendsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 157, 0, 0, 0, 9, 166
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/HeaderLogo/HeaderLogo.module.css", "CSS", 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/HeaderLogo/HeaderLogo.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ImageSlider/ImageSlider.module.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 3, 40
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ImageSlider/ImageSlider.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 9, 52
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/Message/Message.module.css", "CSS", 0, 0, 0, 0, 0, 64, 0, 0, 13, 77
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/Message/Message.tsx", "TypeScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 6, 114
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ModalWindow/ModalWindow.module.css", "CSS", 0, 0, 0, 0, 0, 47, 0, 1, 8, 56
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ModalWindow/ModalWindow.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 5, 47
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/NewPostForm/NewPostForm.module.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 0, 8, 46
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/NewPostForm/NewPostForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 112, 0, 0, 0, 4, 116
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/NotAuthHeader/NotAuthHeader.module.css", "CSS", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/NotAuthHeader/NotAuthHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/Post/Post.module.css", "CSS", 0, 0, 0, 0, 0, 118, 0, 0, 21, 139
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/Post/Post.tsx", "TypeScript JSX", 0, 0, 0, 0, 333, 0, 0, 0, 17, 350
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/PostsPage/PostsPage.module.css", "CSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/PostsPage/PostsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 5, 65
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ProfileInfo/ProfileInfo.module.css", "CSS", 0, 0, 0, 0, 0, 49, 0, 0, 9, 58
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ProfileInfo/ProfileInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 10, 114
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ProfilePage/ProfilePage.module.css", "CSS", 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/ProfilePage/ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 298, 0, 0, 0, 13, 311
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SideBar/SideBar.module.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SideBar/SideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 2, 37
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SignInForm/SignInForm.module.css", "CSS", 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SignInForm/SignInForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 6, 61
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SignInUp/SignInUp.module.css", "CSS", 0, 0, 0, 0, 0, 62, 0, 0, 9, 71
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SignInUp/SignInUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 3, 51
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SignUpForm/SignUpForm.module.css", "CSS", 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SignUpForm/SignUpForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 152, 0, 0, 0, 7, 159
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SubscribersPage/SubscribersPage.module.css", "CSS", 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SubscribersPage/SubscribersPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 147, 0, 0, 0, 9, 156
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SubscribesPage/SubscribesPage.module.css", "CSS", 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/SubscribesPage/SubscribesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 147, 0, 0, 0, 9, 156
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/UI/FormButton/FormButton.module.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/UI/FormButton/FormButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/UI/SideBarElement/SideBarElement.module.css", "CSS", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/UI/SideBarElement/SideBarElement.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/UserCard/UserCard.module.css", "CSS", 0, 0, 0, 0, 0, 52, 0, 0, 10, 62
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/UserCard/UserCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 186, 0, 0, 0, 10, 196
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/formik/FormikInput/FormikInput.module.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/home/fadeyjo/Documents/ChatBox/src/client/src/components/formik/FormikInput/FormikInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 2, 43
"/home/fadeyjo/Documents/ChatBox/src/client/src/globalSocket.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/fadeyjo/Documents/ChatBox/src/client/src/http/index.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 5, 52
"/home/fadeyjo/Documents/ChatBox/src/client/src/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IForms/ISignIn.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IForms/ISignUp.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IProps/ICodeForm.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IProps/IComment.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IProps/IFormButton.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IProps/IModalWindow.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IProps/INewPostForm.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IProps/IPost.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IProps/IProfileInfo.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IProps/ISideBarElement.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IProps/ISignInUp.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IRequests/ILogin.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IRequests/IRegistration.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IResponses/IGetChat.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IResponses/IGetComment.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IResponses/IGetFriendship.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IResponses/IGetMessage.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IResponses/IGetPost.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/fadeyjo/Documents/ChatBox/src/client/src/interfaces/IResponses/IGetPostImage.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
